,Latitud Inicial,Latitud Final,Longitud Inicial,Longitud Final
Barcelona,41.33879,41.43879,2.10899,2.20899
L'Hospitalet de Llobregat,41.31619,41.41619,2.06649,2.16649
Badalona,41.40004,41.50004,2.19741,2.29741
Terrassa,41.51321,41.61321,1.95887,2.05887
Sabadell,41.49627,41.59627,2.05861,2.15861
Lleida,41.56527,41.66527,0.57062,0.67062
Tarragona,41.0691,41.1691,1.20842,1.30842
Mataró,41.48811,41.58811,2.39474,2.49474
Santa Coloma de Gramenet,41.40152,41.50152,2.1581,2.2581
Reus,41.10612,41.20612,1.05687,1.15687
Girona,41.93186,42.03186,2.77412,2.87412
Sant Cugat del Vallès,41.42202,41.52202,2.03689,2.13689
Cornellà de Llobregat,41.30015,41.40015,2.02039,2.12039
Sant Boi de Llobregat,41.29334,41.39334,1.98636,2.08636
Manresa,41.67815,41.77815,1.77399,1.87399
Rubí,41.44227,41.54227,1.98372,2.08372
Vilanova i la Geltrú,41.17392,41.27392,1.67511,1.77511
Viladecans,41.26433,41.36433,1.9642,2.0642
Castelldefels,41.22791,41.32791,1.92061,2.02061
El Prat de Llobregat,41.27744,41.37744,2.04439,2.14439
Granollers,41.55871,41.65871,2.2381,2.3381
Cerdanyola del Vallès,41.44167,41.54167,2.09088,2.19088
Mollet del Vallès,41.48894,41.58894,2.16312,2.26312
Gavà,41.25495,41.35495,1.95169,2.05169
Esplugues de Llobregat,41.32789,41.42789,2.04082,2.14082
Figueres,42.21716,42.31716,2.90977,3.00977
Sant Feliu de Llobregat,41.33053,41.43053,1.99676,2.09676
